id_cliente,idade,nivel_educacao,geracao,possui_parceiro,qts_criancas,responde_campanha,salario_anual,salario_mensal,preferência,n_compras,ultima_compra,total_gasto,produto_mais_compra,,R,F,M,,R_SCORE,F_SCORE,M_SCORE,MÉDIA_F_M,SEGMENTAÇÃO
6864,36,Posgrado,Millennials,NÂO,0,NÃO,"$10.979,00","$914,92",loja online,6,2022-11-05,"$30,00",CARNES,,56,6,"$30,00",,3,2,1,"1,5",Hibernando
3033,62,Posgrado,Baby Boomers,SIM,0,NÃO,"$38.620,00","$3.218,33",loja física,5,2021-10-20,"$318,00",VINHO,,431,5,"$318,00",,1,1,2,"1,5",Hibernando
5710,55,Grado o superior,Geração X,SIM,1,NÃO,"$40.548,00","$3.379,00",loja física,6,2021-11-18,"$120,00",VINHO,,403,6,"$120,00",,1,2,2,2,Precisam de Atenção
7373,73,Posgrado,Baby Boomers,NÂO,2,SIM,"$46.610,00","$3.884,17",loja física,10,2022-02-11,"$302,00",VINHO,,320,10,"$302,00",,1,2,2,2,Precisam de Atenção
8755,79,Posgrado,Baby Boomers,SIM,0,NÃO,"$68.657,00","$5.721,42",loja física,12,2022-06-08,"$1.196,00",VINHO,,203,12,"$1.196,00",,2,3,4,"3,5",Precisam de Atenção
10738,74,Posgrado,Baby Boomers,NÂO,2,NÃO,"$49.389,00","$4.115,75",loja física,5,2022-02-23,"$65,00",VINHO,,308,5,"$65,00",,1,1,1,1,Hibernando
4339,55,Posgrado,Geração X,SIM,1,NÃO,"$67.353,00","$5.612,75",loja física,17,2022-12-11,"$913,00",VINHO,,20,17,"$913,00",,4,4,3,"3,5",Leais de Ouro
10755,49,Secundaria,Geração X,SIM,1,NÃO,"$23.718,00","$1.976,50",loja online,5,2022-03-26,"$81,00",OUTROS,,275,5,"$81,00",,1,1,2,"1,5",Hibernando
8595,52,Grado o superior,Geração X,NÂO,1,NÃO,"$42.429,00","$3.535,75",loja física,4,2022-10-02,"$67,00",VINHO,,89,4,"$67,00",,3,1,1,1,Hibernando
2968,82,Posgrado,Pré-Boomers,NÂO,0,SIM,"$48.948,00","$4.079,00",loja online,12,2022-10-08,"$902,00",VINHO,,83,12,"$902,00",,3,3,3,3,Promissores
8601,45,Grado o superior,Geração X,SIM,1,NÃO,"$80.011,00","$6.667,58",loja online,13,2022-10-14,"$1.395,00",CARNES,,77,13,"$1.395,00",,3,3,4,"3,5",Promissores
503,40,Posgrado,Millennials,SIM,1,NÃO,"$20.559,00","$1.713,25",loja física,5,2021-12-24,"$53,00",CARNES,,367,5,"$53,00",,1,1,1,1,Hibernando
7281,66,Posgrado,Baby Boomers,NÂO,0,NÃO,"$52.189,52","$4.349,13",loja física,5,2022-12-19,"$186,00",VINHO,,12,5,"$186,00",,4,1,2,"1,5",Recém-Chegados
2139,50,Posgrado,Geração X,SIM,1,NÃO,"$7.500,00","$625,00",loja física,5,2022-08-26,"$31,00",OUTROS,,125,5,"$31,00",,3,1,1,1,Hibernando
1371,49,Grado o superior,Geração X,NÂO,0,NÃO,"$79.941,00","$6.661,75",loja física,11,2022-12-10,"$984,00",CARNES,,21,11,"$984,00",,4,3,3,3,Potenciais de Ouro
9909,29,Secundaria,Millennials,SIM,0,SIM,"$7.500,00","$625,00",loja online,6,2022-06-29,"$122,00",OUTROS,,182,6,"$122,00",,2,2,2,2,Precisam de Atenção
7286,57,Grado o superior,Geração X,SIM,1,NÃO,"$41.728,00","$3.477,33",loja online,4,2022-01-31,"$55,00",CARNES,,330,4,"$55,00",,1,1,1,1,Hibernando
7244,74,Grado o superior,Baby Boomers,NÂO,3,NÃO,"$52.189,52","$4.349,13",loja física,6,2022-11-11,"$124,00",VINHO,,50,6,"$124,00",,4,2,2,2,Potenciais de Ouro
6566,71,Posgrado,Baby Boomers,SIM,2,NÃO,"$72.550,00","$6.045,83",loja física,17,2022-06-05,"$1.319,00",VINHO,,206,17,"$1.319,00",,2,4,4,4,Precisam de Atenção
8614,68,Grado o superior,Baby Boomers,NÂO,1,NÃO,"$65.486,00","$5.457,17",loja física,14,2022-12-19,"$507,00",VINHO,,12,14,"$507,00",,4,3,3,3,Potenciais de Ouro
4114,61,Posgrado,Baby Boomers,SIM,0,NÃO,"$79.143,00","$6.595,25",loja física,19,2022-10-23,"$1.693,00",CARNES,,68,19,"$1.693,00",,3,4,4,4,Promissores
1331,48,Grado o superior,Geração X,NÂO,1,NÃO,"$35.790,00","$2.982,50",loja física,5,2022-11-29,"$72,00",PEIXES,,32,5,"$72,00",,4,1,2,"1,5",Recém-Chegados
2225,48,Grado o superior,Geração X,NÂO,0,SIM,"$82.582,00","$6.881,83",loja física,11,2022-12-31,"$1.617,00",CARNES,,0,11,"$1.617,00",,4,3,4,"3,5",Leais de Ouro
9381,47,Grado o superior,Geração X,SIM,2,NÃO,"$66.373,00","$5.531,08",loja física,14,2022-05-27,"$606,00",VINHO,,214,14,"$606,00",,2,3,3,3,Precisam de Atenção
6260,70,Posgrado,Baby Boomers,SIM,0,SIM,"$82.384,00","$6.865,33",loja física,16,2022-05-07,"$1.957,00",VINHO,,234,16,"$1.957,00",,2,4,4,4,Precisam de Atenção
10383,59,Grado o superior,Geração X,NÂO,0,SIM,"$70.287,00","$5.857,25",loja física,15,2022-08-18,"$1.093,00",CARNES,,133,15,"$1.093,00",,2,4,4,4,Precisam de Atenção
7437,37,Grado o superior,Millennials,NÂO,1,NÃO,"$27.938,00","$2.328,17",loja física,5,2022-10-13,"$29,00",VINHO,,78,5,"$29,00",,3,1,1,1,Hibernando
8557,43,Grado o superior,Millennials,NÂO,1,NÃO,"$52.189,52","$4.349,13",loja física,5,2022-11-21,"$46,00",CARNES,,40,5,"$46,00",,4,1,1,1,Recém-Chegados
8375,57,Posgrado,Geração X,SIM,1,NÃO,"$55.954,00","$4.662,83",loja online,14,2022-09-17,"$518,00",VINHO,,104,14,"$518,00",,3,3,3,3,Promissores
6853,43,Posgrado,Millennials,NÂO,0,SIM,"$75.777,00","$6.314,75",loja física,14,2022-08-27,"$1.438,00",VINHO,,124,14,"$1.438,00",,3,3,4,"3,5",Promissores
3076,50,Grado o superior,Geração X,SIM,2,NÃO,"$66.653,00","$5.554,42",loja física,16,2022-07-22,"$612,00",VINHO,,159,16,"$612,00",,2,4,3,"3,5",Precisam de Atenção
1012,73,Grado o superior,Baby Boomers,NÂO,1,NÃO,"$61.823,00","$5.151,92",loja física,18,2022-03-24,"$884,00",VINHO,,277,18,"$884,00",,1,4,3,"3,5",Precisam de Atenção
6518,74,Posgrado,Baby Boomers,NÂO,1,NÃO,"$67.680,00","$5.640,00",loja física,15,2022-09-06,"$606,00",VINHO,,115,15,"$606,00",,3,4,3,"3,5",Promissores
4137,77,Grado o superior,Baby Boomers,SIM,0,NÃO,"$70.666,00","$5.888,83",loja online,11,2022-12-17,"$1.076,00",VINHO,,14,11,"$1.076,00",,4,3,4,"3,5",Leais de Ouro
8082,54,Grado o superior,Geração X,SIM,1,SIM,"$25.721,00","$2.143,42",loja física,3,2021-07-17,"$34,00",OUTROS,,524,3,"$34,00",,1,1,1,1,Hibernando
1386,58,Grado o superior,Geração X,SIM,2,NÃO,"$32.474,00","$2.706,17",loja física,3,2022-05-25,"$11,00",VINHO,,216,3,"$11,00",,2,1,1,1,Hibernando
9369,46,Secundaria,Geração X,NÂO,1,SIM,"$88.194,00","$7.349,50",loja online,21,2022-12-27,"$1.274,00",VINHO,,4,21,"$1.274,00",,4,4,4,4,Leais de Ouro
4477,67,Grado o superior,Baby Boomers,SIM,1,NÃO,"$69.096,00","$5.758,00",loja física,15,2022-09-16,"$653,00",VINHO,,105,15,"$653,00",,3,4,3,"3,5",Promissores
1357,55,Grado o superior,Geração X,SIM,3,NÃO,"$74.854,00","$6.237,83",loja física,7,2022-01-21,"$1.562,00",VINHO,,340,7,"$1.562,00",,1,2,4,3,Precisam de Atenção
1402,71,Posgrado,Baby Boomers,SIM,0,NÃO,"$66.991,00","$5.582,58",loja física,10,2022-07-16,"$1.253,00",VINHO,,165,10,"$1.253,00",,2,2,4,3,Precisam de Atenção
10629,52,Secundaria,Geração X,SIM,1,NÃO,"$52.189,52","$4.349,13",loja online,6,2021-10-06,"$109,00",CARNES,,445,6,"$109,00",,1,2,2,2,Precisam de Atenção
6312,66,Grado o superior,Baby Boomers,SIM,1,NÃO,"$65.031,00","$5.419,25",loja física,23,2022-11-04,"$863,00",CARNES,,57,23,"$863,00",,3,4,3,"3,5",Promissores
8132,50,Posgrado,Geração X,SIM,2,NÃO,"$60.631,00","$5.052,58",loja online,17,2022-08-13,"$661,00",VINHO,,138,17,"$661,00",,2,4,3,"3,5",Precisam de Atenção
1050,73,Grado o superior,Baby Boomers,SIM,0,NÃO,"$28.332,00","$2.361,00",loja física,6,2022-11-15,"$65,00",DOCES,,46,6,"$65,00",,4,2,1,"1,5",Recém-Chegados
5846,48,Grado o superior,Geração X,NÂO,1,NÃO,"$40.246,00","$3.353,83",loja física,3,2021-02-03,"$13,00",CARNES,,688,3,"$13,00",,1,1,1,1,Hibernando
1859,53,Posgrado,Geração X,SIM,0,SIM,"$75.251,00","$6.270,92",loja online,12,2022-10-05,"$1.890,00",CARNES,,86,12,"$1.890,00",,3,3,4,"3,5",Promissores
7503,49,Grado o superior,Geração X,NÂO,0,SIM,"$75.825,00","$6.318,75",loja física,14,2022-06-18,"$2.209,00",VINHO,,193,14,"$2.209,00",,2,3,4,"3,5",Precisam de Atenção
1618,60,Grado o superior,Geração X,SIM,0,SIM,"$56.046,00","$4.670,50",loja online,18,2022-08-07,"$692,00",VINHO,,144,18,"$692,00",,2,4,3,"3,5",Precisam de Atenção
3332,40,Grado o superior,Millennials,NÂO,1,NÃO,"$29.760,00","$2.480,00",loja física,7,2022-06-25,"$165,00",CARNES,,186,7,"$165,00",,2,2,2,2,Precisam de Atenção
2261,56,Grado o superior,Geração X,SIM,1,NÃO,"$26.304,00","$2.192,00",loja física,3,2021-07-22,"$16,00",CARNES,,519,3,"$16,00",,1,1,1,1,Hibernando
5346,52,Secundaria,Geração X,SIM,1,NÃO,"$23.559,00","$1.963,25",loja online,6,2022-08-16,"$79,00",VINHO,,135,6,"$79,00",,2,2,2,2,Precisam de Atenção
4119,62,Posgrado,Baby Boomers,SIM,0,NÃO,"$38.620,00","$3.218,33",loja física,5,2022-03-22,"$318,00",VINHO,,279,5,"$318,00",,1,1,2,"1,5",Hibernando
535,38,Grado o superior,Millennials,NÂO,0,NÃO,"$81.361,00","$6.780,08",loja física,16,2022-11-07,"$778,00",CARNES,,54,16,"$778,00",,4,4,3,"3,5",Leais de Ouro
5268,65,Grado o superior,Baby Boomers,SIM,2,NÃO,"$29.440,00","$2.453,33",loja física,5,2022-08-06,"$56,00",VINHO,,145,5,"$56,00",,2,1,1,1,Hibernando
273,55,Posgrado,Geração X,SIM,2,NÃO,"$36.138,00","$3.011,50",loja física,7,2022-08-17,"$151,00",VINHO,,134,7,"$151,00",,2,2,2,2,Precisam de Atenção
4452,68,Grado o superior,Baby Boomers,NÂO,1,SIM,"$50.388,00","$4.199,00",loja online,12,2022-10-23,"$372,00",VINHO,,68,12,"$372,00",,3,3,2,"2,5",Promissores
8504,52,Grado o superior,Geração X,SIM,0,NÃO,"$79.593,00","$6.632,75",loja física,12,2022-10-14,"$1.366,00",CARNES,,77,12,"$1.366,00",,3,3,4,"3,5",Promissores
771,58,Grado o superior,Geração X,SIM,1,NÃO,"$54.178,00","$4.514,83",loja física,7,2022-12-25,"$194,00",VINHO,,6,7,"$194,00",,4,2,2,2,Potenciais de Ouro
8996,68,Posgrado,Baby Boomers,SIM,3,NÃO,"$52.189,52","$4.349,13",loja física,15,2022-07-17,"$603,00",VINHO,,164,15,"$603,00",,2,4,3,"3,5",Precisam de Atenção
9235,68,Grado o superior,Baby Boomers,NÂO,2,NÃO,"$52.189,52","$4.349,13",loja física,3,2022-09-24,"$18,00",CARNES,,97,3,"$18,00",,3,1,1,1,Hibernando
5798,52,Posgrado,Geração X,SIM,0,NÃO,"$52.189,52","$4.349,13",loja física,10,2022-11-20,"$985,00",VINHO,,41,10,"$985,00",,4,2,3,"2,5",Potenciais de Ouro
11178,53,Posgrado,Geração X,NÂO,1,NÃO,"$42.394,00","$3.532,83",loja física,4,2022-08-04,"$32,00",VINHO,,147,4,"$32,00",,2,1,1,1,Hibernando
2230,55,Posgrado,Geração X,SIM,1,NÃO,"$23.626,00","$1.968,83",loja online,6,2022-11-26,"$43,00",VINHO,,35,6,"$43,00",,4,2,1,"1,5",Recém-Chegados
7516,42,Grado o superior,Millennials,SIM,1,NÃO,"$30.096,00","$2.508,00",loja física,5,2022-09-09,"$45,00",PEIXES,,112,5,"$45,00",,3,1,1,1,Hibernando
7247,65,Grado o superior,Baby Boomers,NÂO,1,NÃO,"$47.916,00","$3.993,00",loja online,13,2022-06-01,"$606,00",VINHO,,210,13,"$606,00",,2,3,3,3,Precisam de Atenção
11100,53,Grado o superior,Geração X,NÂO,2,NÃO,"$51.813,00","$4.317,75",loja física,5,2022-06-08,"$63,00",VINHO,,203,5,"$63,00",,2,1,1,1,Hibernando
4646,74,Secundaria,Baby Boomers,SIM,0,NÃO,"$78.497,00","$6.541,42",loja física,17,2022-11-04,"$978,00",CARNES,,57,17,"$978,00",,3,4,3,"3,5",Promissores
3037,42,Posgrado,Millennials,SIM,0,NÃO,"$50.150,00","$4.179,17",loja física,12,2022-03-23,"$410,00",VINHO,,278,12,"$410,00",,1,3,3,3,Precisam de Atenção
1473,65,Secundaria,Baby Boomers,NÂO,1,NÃO,"$47.823,00","$3.985,25",loja física,5,2022-07-04,"$72,00",VINHO,,177,5,"$72,00",,2,1,2,"1,5",Hibernando
1016,66,Posgrado,Baby Boomers,NÂO,1,NÃO,"$34.554,00","$2.879,50",loja física,5,2022-11-02,"$55,00",VINHO,,59,5,"$55,00",,3,1,1,1,Hibernando
4518,46,Grado o superior,Geração X,SIM,1,NÃO,"$85.693,00","$7.141,08",loja física,20,2022-06-23,"$1.169,00",VINHO,,188,20,"$1.169,00",,2,4,4,4,Precisam de Atenção
9370,80,Posgrado,Pré-Boomers,SIM,0,NÃO,"$65.846,00","$5.487,17",loja online,12,2022-10-16,"$1.120,00",VINHO,,75,12,"$1.120,00",,3,3,4,"3,5",Promissores
8908,66,Grado o superior,Baby Boomers,SIM,0,SIM,"$87.195,00","$7.266,25",loja física,8,2022-11-12,"$1.097,00",CARNES,,49,8,"$1.097,00",,4,2,4,3,Potenciais de Ouro
8373,46,Secundaria,Geração X,SIM,1,NÃO,"$24.594,00","$2.049,50",loja física,4,2022-12-30,"$29,00",PEIXES,,0,4,"$29,00",,4,1,1,1,Recém-Chegados
7533,61,Grado o superior,Baby Boomers,SIM,2,NÃO,"$49.096,00","$4.091,33",loja online,8,2022-09-12,"$187,00",VINHO,,109,8,"$187,00",,3,2,2,2,Promissores
2683,56,Grado o superior,Geração X,SIM,2,NÃO,"$52.413,00","$4.367,75",loja física,18,2022-05-31,"$910,00",VINHO,,210,18,"$910,00",,2,4,3,"3,5",Precisam de Atenção
3629,47,Grado o superior,Geração X,NÂO,1,NÃO,"$38.557,00","$3.213,08",loja online,6,2022-01-08,"$145,00",VINHO,,353,6,"$145,00",,1,2,2,2,Precisam de Atenção
10991,65,Posgrado,Baby Boomers,SIM,0,NÃO,"$89.058,00","$7.421,50",loja online,9,2022-05-11,"$850,00",VINHO,,230,9,"$850,00",,2,2,3,"2,5",Precisam de Atenção
5077,46,Grado o superior,Geração X,SIM,1,NÃO,"$77.298,00","$6.441,50",loja física,17,2022-12-06,"$969,00",VINHO,,25,17,"$969,00",,4,4,3,"3,5",Leais de Ouro
7431,34,Posgrado,Millennials,NÂO,0,SIM,"$68.126,00","$5.677,17",loja online,12,2022-05-12,"$1.820,00",VINHO,,229,12,"$1.820,00",,2,3,4,"3,5",Precisam de Atenção
3267,62,Posgrado,Baby Boomers,SIM,1,NÃO,"$57.288,00","$4.774,00",loja online,16,2022-12-29,"$608,00",VINHO,,2,16,"$608,00",,4,4,3,"3,5",Leais de Ouro
999,34,Grado o superior,Millennials,NÂO,0,SIM,"$86.037,00","$7.169,75",loja física,17,2022-08-31,"$730,00",VINHO,,120,17,"$730,00",,3,4,3,"3,5",Promissores
9215,45,Posgrado,Geração X,SIM,1,NÃO,"$43.974,00","$3.664,50",loja online,12,2022-09-02,"$551,00",VINHO,,119,12,"$551,00",,3,3,3,3,Promissores
2286,63,Grado o superior,Baby Boomers,NÂO,2,NÃO,"$50.785,00","$4.232,08",loja física,5,2022-10-21,"$114,00",VINHO,,70,5,"$114,00",,3,1,2,"1,5",Hibernando
1592,55,Grado o superior,Geração X,SIM,0,NÃO,"$90.765,00","$7.563,75",loja física,9,2022-12-01,"$1.724,00",CARNES,,30,9,"$1.724,00",,4,2,4,3,Potenciais de Ouro
367,47,Secundaria,Geração X,SIM,1,NÃO,"$36.550,00","$3.045,83",loja online,14,2022-11-23,"$577,00",PEIXES,,38,14,"$577,00",,4,3,3,3,Potenciais de Ouro
5234,58,Secundaria,Geração X,SIM,2,NÃO,"$30.753,00","$2.562,75",loja física,4,2022-07-15,"$81,00",OUTROS,,166,4,"$81,00",,2,1,2,"1,5",Hibernando
9862,56,Grado o superior,Geração X,SIM,1,NÃO,"$21.918,00","$1.826,50",loja física,5,2022-08-10,"$33,00",PEIXES,,141,5,"$33,00",,2,1,1,1,Hibernando
9805,72,Posgrado,Baby Boomers,SIM,1,NÃO,"$56.129,00","$4.677,42",loja física,16,2022-09-12,"$660,00",VINHO,,109,16,"$660,00",,3,4,3,"3,5",Promissores
6205,58,Posgrado,Geração X,NÂO,1,SIM,"$32.557,00","$2.713,08",loja física,5,2022-10-20,"$80,00",VINHO,,71,5,"$80,00",,3,1,2,"1,5",Hibernando
8442,40,Posgrado,Millennials,SIM,2,NÃO,"$19.510,00","$1.625,83",loja física,4,2022-10-06,"$30,00",VINHO,,85,4,"$30,00",,3,1,1,1,Hibernando
7386,49,Grado o superior,Geração X,NÂO,1,NÃO,"$30.992,00","$2.582,67",loja física,4,2022-08-21,"$43,00",VINHO,,130,4,"$43,00",,3,1,1,1,Hibernando
7215,42,Grado o superior,Millennials,NÂO,0,SIM,"$101.970,00","$8.497,50",loja física,19,2022-05-28,"$1.135,00",VINHO,,213,19,"$1.135,00",,2,4,4,4,Precisam de Atenção
1491,60,Secundaria,Geração X,SIM,0,NÃO,"$71.488,00","$5.957,33",loja física,10,2022-09-10,"$559,00",OUTROS,,111,10,"$559,00",,3,2,3,"2,5",Promissores
11071,41,Grado o superior,Millennials,NÂO,0,SIM,"$79.607,00","$6.633,92",loja física,9,2021-12-27,"$1.923,00",CARNES,,364,9,"$1.923,00",,1,2,4,3,Precisam de Atenção
3381,72,Posgrado,Baby Boomers,SIM,2,NÃO,"$54.348,00","$4.529,00",loja física,6,2022-09-18,"$90,00",VINHO,,103,6,"$90,00",,3,2,2,2,Promissores
8268,64,Posgrado,Baby Boomers,SIM,1,NÃO,"$52.189,52","$4.349,13",loja física,13,2022-05-17,"$404,00",VINHO,,224,13,"$404,00",,2,3,3,3,Precisam de Atenção
11051,69,Posgrado,Baby Boomers,SIM,2,NÃO,"$77.376,00","$6.448,00",loja física,16,2022-12-07,"$661,00",VINHO,,24,16,"$661,00",,4,4,3,"3,5",Leais de Ouro
8026,73,Grado o superior,Baby Boomers,SIM,1,NÃO,"$62.998,00","$5.249,83",loja online,10,2022-09-27,"$463,00",VINHO,,94,10,"$463,00",,3,2,3,"2,5",Promissores
433,67,Posgrado,Baby Boomers,NÂO,2,NÃO,"$61.331,00","$5.110,92",loja online,17,2021-12-20,"$632,00",VINHO,,371,17,"$632,00",,1,4,3,"3,5",Precisam de Atenção
9597,56,Grado o superior,Geração X,SIM,0,NÃO,"$73.448,00","$6.120,67",loja física,16,2022-12-07,"$725,00",VINHO,,24,16,"$725,00",,4,4,3,"3,5",Leais de Ouro
1295,62,Grado o superior,Baby Boomers,SIM,1,NÃO,"$52.189,52","$4.349,13",loja física,13,2022-05-27,"$725,00",VINHO,,214,13,"$725,00",,2,3,3,3,Precisam de Atenção
5290,61,Posgrado,Baby Boomers,SIM,2,NÃO,"$41.551,00","$3.462,58",loja online,10,2022-08-09,"$279,00",VINHO,,142,10,"$279,00",,2,2,2,2,Precisam de Atenção
1685,58,Posgrado,Geração X,SIM,0,NÃO,"$62.981,00","$5.248,42",loja física,17,2022-10-22,"$1.482,00",VINHO,,69,17,"$1.482,00",,3,4,4,4,Promissores
5342,49,Secundaria,Geração X,NÂO,1,NÃO,"$9.548,00","$795,67",loja física,4,2021-06-19,"$29,00",PEIXES,,552,4,"$29,00",,1,1,1,1,Hibernando
9579,66,Posgrado,Baby Boomers,SIM,3,NÃO,"$33.762,00","$2.813,50",loja online,4,2021-09-10,"$106,00",VINHO,,471,4,"$106,00",,1,1,2,"1,5",Hibernando
7660,52,Posgrado,Geração X,NÂO,2,SIM,"$35.860,00","$2.988,33",loja física,3,2022-10-29,"$49,00",OUTROS,,62,3,"$49,00",,3,1,1,1,Hibernando
1461,60,Posgrado,Geração X,NÂO,2,NÃO,"$36.921,00","$3.076,75",loja física,5,2022-03-20,"$38,00",VINHO,,281,5,"$38,00",,1,1,1,1,Hibernando
821,33,Posgrado,Millennials,NÂO,0,NÃO,"$92.859,00","$7.738,25",loja física,17,2022-02-02,"$2.077,00",VINHO,,329,17,"$2.077,00",,1,4,4,4,Precisam de Atenção
11084,49,Posgrado,Geração X,SIM,1,SIM,"$65.104,00","$5.425,33",loja física,10,2022-12-24,"$1.053,00",VINHO,,7,10,"$1.053,00",,4,2,4,3,Potenciais de Ouro
8690,63,Grado o superior,Baby Boomers,SIM,0,NÃO,"$86.111,00","$7.175,92",loja física,15,2022-10-27,"$1.385,00",CARNES,,64,15,"$1.385,00",,3,4,4,4,Promissores
